Subject,Status,Grade,ActualNumberRatio,Response_converted
66acf7e114ccc48c4f7f9594,CP,adult,1.02,1
5b0481d17ac6e4000107e12a,CP,adult,1.0333333333333334,1
666a11d046107a56965a98f5,CP,adult,1.02,0
5b0481d17ac6e4000107e12a,CP,adult,1.333334,1
666a11d046107a56965a98f5,CP,adult,1.05,1
698a231eb1fe98dda75f2e9f,CP,adult,1.05,1
5b0481d17ac6e4000107e12a,CP,adult,1.033334,0
69aa46338ec395be30313cc4,CP,adult,1.25,1
698a231eb1fe98dda75f2e9f,CP,adult,1.033332857142857,1
666a11d046107a56965a98f5,CP,adult,1.02,1
69aa46338ec395be30313cc4,CP,adult,1.025,0
698a231eb1fe98dda75f2e9f,CP,adult,1.025,0
666a11d046107a56965a98f5,CP,adult,1.02,1
66acf7e114ccc48c4f7f9594,CP,adult,1.02,1
5b0481d17ac6e4000107e12a,CP,adult,1.025,1
666a11d046107a56965a98f5,CP,adult,1.02,0
5b0481d17ac6e4000107e12a,CP,adult,1.02,0
698a231eb1fe98dda75f2e9f,CP,adult,1.25,1
66acf7e114ccc48c4f7f9594,CP,adult,1.5,1
5b0481d17ac6e4000107e12a,CP,adult,1.5,0
66acf7e114ccc48c4f7f9594,CP,adult,1.333332857142857,1
666a11d046107a56965a98f5,CP,adult,1.025,0
698a231eb1fe98dda75f2e9f,CP,adult,1.025,0
69aa46338ec395be30313cc4,CP,adult,1.0499999999999998,1
698a231eb1fe98dda75f2e9f,CP,adult,1.333332857142857,1
5b0481d17ac6e4000107e12a,CP,adult,1.02,0
5b0481d17ac6e4000107e12a,CP,adult,1.333332857142857,1
66acf7e114ccc48c4f7f9594,CP,adult,1.25,0
5b0481d17ac6e4000107e12a,CP,adult,1.025,0
66acf7e114ccc48c4f7f9594,CP,adult,1.025,1
5b0481d17ac6e4000107e12a,CP,adult,1.05,1
66acf7e114ccc48c4f7f9594,CP,adult,1.25,1
5b0481d17ac6e4000107e12a,CP,adult,1.25,1
66acf7e114ccc48c4f7f9594,CP,adult,1.05,1
5b0481d17ac6e4000107e12a,CP,adult,1.02,1
698a231eb1fe98dda75f2e9f,CP,adult,1.5,1
5b0481d17ac6e4000107e12a,CP,adult,1.25,0
5b0481d17ac6e4000107e12a,CP,adult,1.25,1
698a231eb1fe98dda75f2e9f,CP,adult,1.033334,1
5b0481d17ac6e4000107e12a,CP,adult,1.025,0
698a231eb1fe98dda75f2e9f,CP,adult,1.5,1
5b0481d17ac6e4000107e12a,CP,adult,1.5,1
666a11d046107a56965a98f5,CP,adult,1.025,0
5b0481d17ac6e4000107e12a,CP,adult,1.3333333333333333,1
69aa46338ec395be30313cc4,CP,adult,1.02,0
698a231eb1fe98dda75f2e9f,CP,adult,1.025,1
66acf7e114ccc48c4f7f9594,CP,adult,1.033334,1
698a231eb1fe98dda75f2e9f,CP,adult,1.3333333333333333,1
66acf7e114ccc48c4f7f9594,CP,adult,1.333332857142857,1
5b0481d17ac6e4000107e12a,CP,adult,1.0333333333333334,0
6111add3ae6abf5702a22d53,CP,adult,1.02,0
6111add3ae6abf5702a22d53,CP,adult,1.5,1
6111add3ae6abf5702a22d53,CP,adult,1.02,1
6111add3ae6abf5702a22d53,CP,adult,1.02,1
6111add3ae6abf5702a22d53,CP,adult,1.25,0
6111add3ae6abf5702a22d53,CP,adult,1.025,1
6111add3ae6abf5702a22d53,CP,adult,1.025,1
5b0481d17ac6e4000107e12a,CP,adult,1.05,1
698a231eb1fe98dda75f2e9f,CP,adult,1.02,1
66acf7e114ccc48c4f7f9594,CP,adult,1.0499999999999998,0
698a231eb1fe98dda75f2e9f,CP,adult,1.25,1
66acf7e114ccc48c4f7f9594,CP,adult,1.033334,1
5b0481d17ac6e4000107e12a,CP,adult,1.5,1
66acf7e114ccc48c4f7f9594,CP,adult,1.033334,1
666a11d046107a56965a98f5,CP,adult,1.02,1
66acf7e114ccc48c4f7f9594,CP,adult,1.02,1
5b0481d17ac6e4000107e12a,CP,adult,1.25,1
5b0481d17ac6e4000107e12a,CP,adult,1.025,0
66acf7e114ccc48c4f7f9594,CP,adult,1.025,1
5b0481d17ac6e4000107e12a,CP,adult,1.5,1
698a231eb1fe98dda75f2e9f,CP,adult,1.025,1
69aa46338ec395be30313cc4,CP,adult,1.05,1
698a231eb1fe98dda75f2e9f,CP,adult,1.25,1
66acf7e114ccc48c4f7f9594,CP,adult,1.05,1
69aa46338ec395be30313cc4,CP,adult,1.333334,1
5b0481d17ac6e4000107e12a,CP,adult,1.0499999999999998,1
666a11d046107a56965a98f5,CP,adult,1.0499999999999998,1
698a231eb1fe98dda75f2e9f,CP,adult,1.033332857142857,1
69aa46338ec395be30313cc4,CP,adult,1.025,0
5b0481d17ac6e4000107e12a,CP,adult,1.033334,0
66acf7e114ccc48c4f7f9594,CP,adult,1.0499999999999998,1
5b0481d17ac6e4000107e12a,CP,adult,1.0499999999999998,0
66acf7e114ccc48c4f7f9594,CP,adult,1.033332857142857,1
69aa46338ec395be30313cc4,CP,adult,1.0333333333333334,0
698a231eb1fe98dda75f2e9f,CP,adult,1.333332857142857,1
666a11d046107a56965a98f5,CP,adult,1.25,1
698a231eb1fe98dda75f2e9f,CP,adult,1.05,1
69aa46338ec395be30313cc4,CP,adult,1.02,1
698a231eb1fe98dda75f2e9f,CP,adult,1.025,1
666a11d046107a56965a98f5,CP,adult,1.05,1
69aa46338ec395be30313cc4,CP,adult,1.02,1
698a231eb1fe98dda75f2e9f,CP,adult,1.0333333333333334,1
66acf7e114ccc48c4f7f9594,CP,adult,1.333332857142857,1
69aa46338ec395be30313cc4,CP,adult,1.025,1
666a11d046107a56965a98f5,CP,adult,1.025,1
66acf7e114ccc48c4f7f9594,CP,adult,1.033332857142857,1
69aa46338ec395be30313cc4,CP,adult,1.05,1
666a11d046107a56965a98f5,CP,adult,1.025,1
66acf7e114ccc48c4f7f9594,CP,adult,1.02,0
69aa46338ec395be30313cc4,CP,adult,1.333334,1
698a231eb1fe98dda75f2e9f,CP,adult,1.333332857142857,1
66acf7e114ccc48c4f7f9594,CP,adult,1.0333333333333334,0
5b0481d17ac6e4000107e12a,CP,adult,1.5,1
666a11d046107a56965a98f5,CP,adult,1.5,1
5b0481d17ac6e4000107e12a,CP,adult,1.05,1
69aa46338ec395be30313cc4,CP,adult,1.5,1
666a11d046107a56965a98f5,CP,adult,1.02,0
698a231eb1fe98dda75f2e9f,CP,adult,1.333334,1
69aa46338ec395be30313cc4,CP,adult,1.333334,1
66acf7e114ccc48c4f7f9594,CP,adult,1.3333333333333333,1
5b0481d17ac6e4000107e12a,CP,adult,1.02,0
666a11d046107a56965a98f5,CP,adult,1.02,1
698a231eb1fe98dda75f2e9f,CP,adult,1.025,1
5b0481d17ac6e4000107e12a,CP,adult,1.0333333333333334,0
69aa46338ec395be30313cc4,CP,adult,1.25,1
66acf7e114ccc48c4f7f9594,CP,adult,1.025,0
698a231eb1fe98dda75f2e9f,CP,adult,1.25,1
66acf7e114ccc48c4f7f9594,CP,adult,1.05,1
5b0481d17ac6e4000107e12a,CP,adult,1.333332857142857,1
666a11d046107a56965a98f5,CP,adult,1.025,1
69aa46338ec395be30313cc4,CP,adult,1.5,1
698a231eb1fe98dda75f2e9f,CP,adult,1.033334,1
66acf7e114ccc48c4f7f9594,CP,adult,1.025,0
69aa46338ec395be30313cc4,CP,adult,1.333334,1
5b0481d17ac6e4000107e12a,CP,adult,1.02,0
66acf7e114ccc48c4f7f9594,CP,adult,1.5,1
698a231eb1fe98dda75f2e9f,CP,adult,1.5,1
666a11d046107a56965a98f5,CP,adult,1.05,1
69aa46338ec395be30313cc4,CP,adult,1.02,0
698a231eb1fe98dda75f2e9f,CP,adult,1.25,0
666a11d046107a56965a98f5,CP,adult,1.3333333333333333,1
69aa46338ec395be30313cc4,CP,adult,1.05,1
5b0481d17ac6e4000107e12a,CP,adult,1.333332857142857,0
666a11d046107a56965a98f5,CP,adult,1.05,0
698a231eb1fe98dda75f2e9f,CP,adult,1.05,1
69aa46338ec395be30313cc4,CP,adult,1.5,1
5b0481d17ac6e4000107e12a,CP,adult,1.033332857142857,1
69aa46338ec395be30313cc4,CP,adult,1.5,1
666a11d046107a56965a98f5,CP,adult,1.025,1
66acf7e114ccc48c4f7f9594,CP,adult,1.25,1
5b0481d17ac6e4000107e12a,CP,adult,1.033334,1
66acf7e114ccc48c4f7f9594,CP,adult,1.5,1
69aa46338ec395be30313cc4,CP,adult,1.0333333333333334,1
66acf7e114ccc48c4f7f9594,CP,adult,1.333332857142857,1
698a231eb1fe98dda75f2e9f,CP,adult,1.25,1
5b0481d17ac6e4000107e12a,CP,adult,1.025,0
66acf7e114ccc48c4f7f9594,CP,adult,1.25,1
666a11d046107a56965a98f5,CP,adult,1.025,1
5b0481d17ac6e4000107e12a,CP,adult,1.05,1
69aa46338ec395be30313cc4,CP,adult,1.3333333333333333,1
5b0481d17ac6e4000107e12a,CP,adult,1.5,1
666a11d046107a56965a98f5,CP,adult,1.25,1
698a231eb1fe98dda75f2e9f,CP,adult,1.25,1
66acf7e114ccc48c4f7f9594,CP,adult,1.25,1
698a231eb1fe98dda75f2e9f,CP,adult,1.02,0
66acf7e114ccc48c4f7f9594,CP,adult,1.02,1
5b0481d17ac6e4000107e12a,CP,adult,1.02,0
698a231eb1fe98dda75f2e9f,CP,adult,1.02,0
60151380a2273d594f63aae3,CP,adult,1.333332857142857,1
666a11d046107a56965a98f5,CP,adult,1.25,1
698a231eb1fe98dda75f2e9f,CP,adult,1.05,1
666a11d046107a56965a98f5,CP,adult,1.025,0
5b0481d17ac6e4000107e12a,CP,adult,1.25,1
69aa46338ec395be30313cc4,CP,adult,1.25,1
698a231eb1fe98dda75f2e9f,CP,adult,1.025,1
66acf7e114ccc48c4f7f9594,CP,adult,1.02,1
5b0481d17ac6e4000107e12a,CP,adult,1.0499999999999998,0
666a11d046107a56965a98f5,CP,adult,1.0499999999999998,1
5b0481d17ac6e4000107e12a,CP,adult,1.5,1
698a231eb1fe98dda75f2e9f,CP,adult,1.25,1
666a11d046107a56965a98f5,CP,adult,1.5,1
69aa46338ec395be30313cc4,CP,adult,1.025,0
5b0481d17ac6e4000107e12a,CP,adult,1.033334,0
66acf7e114ccc48c4f7f9594,CP,adult,1.02,0
5b0481d17ac6e4000107e12a,CP,adult,1.02,1
66acf7e114ccc48c4f7f9594,CP,adult,1.3333333333333333,0
5b0481d17ac6e4000107e12a,CP,adult,1.333332857142857,0
698a231eb1fe98dda75f2e9f,CP,adult,1.5,1
66acf7e114ccc48c4f7f9594,CP,adult,1.05,1
69aa46338ec395be30313cc4,CP,adult,1.5,1
5b0481d17ac6e4000107e12a,CP,adult,1.025,0
66acf7e114ccc48c4f7f9594,CP,adult,1.05,0
666a11d046107a56965a98f5,CP,adult,1.25,1
698a231eb1fe98dda75f2e9f,CP,adult,1.025,1
66acf7e114ccc48c4f7f9594,CP,adult,1.033334,1
5b0481d17ac6e4000107e12a,CP,adult,1.02,1
698a231eb1fe98dda75f2e9f,CP,adult,1.02,0
69aa46338ec395be30313cc4,CP,adult,1.025,0
698a231eb1fe98dda75f2e9f,CP,adult,1.3333333333333333,1
666a11d046107a56965a98f5,CP,adult,1.333332857142857,1
5b0481d17ac6e4000107e12a,CP,adult,1.0333333333333334,1
698a231eb1fe98dda75f2e9f,CP,adult,1.25,1
5b0481d17ac6e4000107e12a,CP,adult,1.0499999999999998,1
666a11d046107a56965a98f5,CP,adult,1.025,1
69aa46338ec395be30313cc4,CP,adult,1.3333333333333333,1
698a231eb1fe98dda75f2e9f,CP,adult,1.02,1
66acf7e114ccc48c4f7f9594,CP,adult,1.05,1
69aa46338ec395be30313cc4,CP,adult,1.025,0
5b0481d17ac6e4000107e12a,CP,adult,1.05,0
69aa46338ec395be30313cc4,CP,adult,1.025,0
666a11d046107a56965a98f5,CP,adult,1.025,1
5b0481d17ac6e4000107e12a,CP,adult,1.25,1
66acf7e114ccc48c4f7f9594,CP,adult,1.5,1
69aa46338ec395be30313cc4,CP,adult,1.02,0
6672e8d9d5662b17658a93ee,CP,adult,1.02,0
5b0481d17ac6e4000107e12a,CP,adult,1.025,1
60151380a2273d594f63aae3,CP,adult,1.05,1
66acf7e114ccc48c4f7f9594,CP,adult,1.02,0
5b0481d17ac6e4000107e12a,CP,adult,1.025,1
6672e8d9d5662b17658a93ee,CP,adult,1.025,0
60151380a2273d594f63aae3,CP,adult,1.02,1
69dd1ae891531453a33d4b3c,CP,adult,1.0499999999999998,0
698a231eb1fe98dda75f2e9f,CP,adult,1.02,0
6672e8d9d5662b17658a93ee,CP,adult,1.02,1
66acf7e114ccc48c4f7f9594,CP,adult,1.3333333333333333,1
60151380a2273d594f63aae3,CP,adult,1.025,0
69dd1ae891531453a33d4b3c,CP,adult,1.02,0
5b0481d17ac6e4000107e12a,CP,adult,1.5,1
6672e8d9d5662b17658a93ee,CP,adult,1.02,0
69aa46338ec395be30313cc4,CP,adult,1.033332857142857,0
5b0481d17ac6e4000107e12a,CP,adult,1.25,1
66acf7e114ccc48c4f7f9594,CP,adult,1.05,1
5b0481d17ac6e4000107e12a,CP,adult,1.25,0
66acf7e114ccc48c4f7f9594,CP,adult,1.025,1
69dd1ae891531453a33d4b3c,CP,adult,1.02,1
6672e8d9d5662b17658a93ee,CP,adult,1.02,1
66acf7e114ccc48c4f7f9594,CP,adult,1.0333333333333334,1
69aa46338ec395be30313cc4,CP,adult,1.5,1
69dd1ae891531453a33d4b3c,CP,adult,1.05,1
66acf7e114ccc48c4f7f9594,CP,adult,1.025,0
5b0481d17ac6e4000107e12a,CP,adult,1.333334,0
69dd1ae891531453a33d4b3c,CP,adult,1.02,1
6672e8d9d5662b17658a93ee,CP,adult,1.02,0
5b0481d17ac6e4000107e12a,CP,adult,1.5,0
69aa46338ec395be30313cc4,CP,adult,1.3333333333333333,1
5a285307df86d80001455de5,CP,adult,1.333334,1
666a11d046107a56965a98f5,CP,adult,1.25,0
66acf7e114ccc48c4f7f9594,CP,adult,1.25,0
60151380a2273d594f63aae3,CP,adult,1.5,1
5a285307df86d80001455de5,CP,adult,1.3333333333333333,1
66acf7e114ccc48c4f7f9594,CP,adult,1.05,1
69dd1ae891531453a33d4b3c,CP,adult,1.02,0
66acf7e114ccc48c4f7f9594,CP,adult,1.25,1
60151380a2273d594f63aae3,CP,adult,1.05,1
69dd1ae891531453a33d4b3c,CP,adult,1.025,1
6672e8d9d5662b17658a93ee,CP,adult,1.025,1
66acf7e114ccc48c4f7f9594,CP,adult,1.02,1
60151380a2273d594f63aae3,CP,adult,1.0499999999999998,0
666a11d046107a56965a98f5,CP,adult,1.0333333333333334,1
66acf7e114ccc48c4f7f9594,CP,adult,1.25,1
69aa46338ec395be30313cc4,CP,adult,1.0499999999999998,1
60151380a2273d594f63aae3,CP,adult,1.05,1
66acf7e114ccc48c4f7f9594,CP,adult,1.025,1
6672e8d9d5662b17658a93ee,CP,adult,1.02,1
69dd1ae891531453a33d4b3c,CP,adult,1.025,1
60151380a2273d594f63aae3,CP,adult,1.25,1
666a11d046107a56965a98f5,CP,adult,1.033332857142857,1
69aa46338ec395be30313cc4,CP,adult,1.02,0
66acf7e114ccc48c4f7f9594,CP,adult,1.033334,0
60151380a2273d594f63aae3,CP,adult,1.02,0
69dd1ae891531453a33d4b3c,CP,adult,1.02,0
69aa46338ec395be30313cc4,CP,adult,1.02,1
69aa46338ec395be30313cc4,CP,adult,1.033334,0
666a11d046107a56965a98f5,CP,adult,1.0333333333333334,1
698a231eb1fe98dda75f2e9f,CP,adult,1.5,1
66acf7e114ccc48c4f7f9594,CP,adult,1.25,1
5b0481d17ac6e4000107e12a,CP,adult,1.025,1
69aa46338ec395be30313cc4,CP,adult,1.033332857142857,1
666a11d046107a56965a98f5,CP,adult,1.25,1
5b0481d17ac6e4000107e12a,CP,adult,1.333334,1
69aa46338ec395be30313cc4,CP,adult,1.025,1
698a231eb1fe98dda75f2e9f,CP,adult,1.05,0
666a11d046107a56965a98f5,CP,adult,1.25,1
66acf7e114ccc48c4f7f9594,CP,adult,1.025,0
60151380a2273d594f63aae3,CP,adult,1.025,1
698a231eb1fe98dda75f2e9f,CP,adult,1.5,0
69dd1ae891531453a33d4b3c,CP,adult,1.02,0
6672e8d9d5662b17658a93ee,CP,adult,1.02,0
666a11d046107a56965a98f5,CP,adult,1.25,1
60151380a2273d594f63aae3,CP,adult,1.033334,1
69aa46338ec395be30313cc4,CP,adult,1.02,0
5b0481d17ac6e4000107e12a,CP,adult,1.25,0
666a11d046107a56965a98f5,CP,adult,1.0333333333333334,1
60151380a2273d594f63aae3,CP,adult,1.5,1
5b0481d17ac6e4000107e12a,CP,adult,1.3333333333333333,1
6672e8d9d5662b17658a93ee,CP,adult,1.02,1
666a11d046107a56965a98f5,CP,adult,1.033332857142857,1
69aa46338ec395be30313cc4,CP,adult,1.02,0
60151380a2273d594f63aae3,CP,adult,1.0499999999999998,1
66acf7e114ccc48c4f7f9594,CP,adult,1.333334,0
69dd1ae891531453a33d4b3c,CP,adult,1.02,1
60151380a2273d594f63aae3,CP,adult,1.025,0
6672e8d9d5662b17658a93ee,CP,adult,1.025,1
5b0481d17ac6e4000107e12a,CP,adult,1.025,0
69dd1ae891531453a33d4b3c,CP,adult,1.025,0
6672e8d9d5662b17658a93ee,CP,adult,1.025,0
69aa46338ec395be30313cc4,CP,adult,1.033334,0
666a11d046107a56965a98f5,CP,adult,1.25,1
6672e8d9d5662b17658a93ee,CP,adult,1.025,0
5a285307df86d80001455de5,CP,adult,1.25,1
69aa46338ec395be30313cc4,CP,adult,1.0499999999999998,0
666a11d046107a56965a98f5,CP,adult,1.033332857142857,0
5a285307df86d80001455de5,CP,adult,1.3333333333333333,1
69aa46338ec395be30313cc4,CP,adult,1.033332857142857,1
69dd1ae891531453a33d4b3c,CP,adult,1.02,1
6672e8d9d5662b17658a93ee,CP,adult,1.02,1
5a285307df86d80001455de5,CP,adult,1.25,1
69dd1ae891531453a33d4b3c,CP,adult,1.0333333333333334,1
666a11d046107a56965a98f5,CP,adult,1.333334,1
5a285307df86d80001455de5,CP,adult,1.3333333333333333,1
69aa46338ec395be30313cc4,CP,adult,1.25,1
66acf7e114ccc48c4f7f9594,CP,adult,1.333332857142857,1
5a285307df86d80001455de5,CP,adult,1.5,1
6672e8d9d5662b17658a93ee,CP,adult,1.025,1
69dd1ae891531453a33d4b3c,CP,adult,1.025,0
5a285307df86d80001455de5,CP,adult,1.5,1
6672e8d9d5662b17658a93ee,CP,adult,1.02,0
666a11d046107a56965a98f5,CP,adult,1.033334,0
66acf7e114ccc48c4f7f9594,CP,adult,1.5,1
5a285307df86d80001455de5,CP,adult,1.05,0
60151380a2273d594f63aae3,CP,adult,1.5,1
66acf7e114ccc48c4f7f9594,CP,adult,1.5,1
666a11d046107a56965a98f5,CP,adult,1.3333333333333333,1
69dd1ae891531453a33d4b3c,CP,adult,1.02,1
66acf7e114ccc48c4f7f9594,CP,adult,1.3333333333333333,1
666a11d046107a56965a98f5,CP,adult,1.333332857142857,1
69dd1ae891531453a33d4b3c,CP,adult,1.033332857142857,1
66acf7e114ccc48c4f7f9594,CP,adult,1.025,1
69dd1ae891531453a33d4b3c,CP,adult,1.033332857142857,0
69aa46338ec395be30313cc4,CP,adult,1.05,1
5a285307df86d80001455de5,CP,adult,1.25,1
69dd1ae891531453a33d4b3c,CP,adult,1.033334,1
5827634ea80bf4000199994b,CP,adult,1.333332857142857,1
5827634ea80bf4000199994b,CP,adult,1.25,1
5827634ea80bf4000199994b,CP,adult,1.033334,0
5827634ea80bf4000199994b,CP,adult,1.033334,0
5827634ea80bf4000199994b,CP,adult,1.02,1
5827634ea80bf4000199994b,CP,adult,1.025,0
5827634ea80bf4000199994b,CP,adult,1.3333333333333333,1
5827634ea80bf4000199994b,CP,adult,1.25,0
5827634ea80bf4000199994b,CP,adult,1.025,1
6111add3ae6abf5702a22d53,CP,adult,1.033334,1
6111add3ae6abf5702a22d53,CP,adult,1.5,1
5827634ea80bf4000199994b,CP,adult,1.025,1
5827634ea80bf4000199994b,CP,adult,1.02,0
5827634ea80bf4000199994b,CP,adult,1.02,1
5827634ea80bf4000199994b,CP,adult,1.02,1
5827634ea80bf4000199994b,CP,adult,1.25,1
5827634ea80bf4000199994b,CP,adult,1.25,0
5827634ea80bf4000199994b,CP,adult,1.333332857142857,1
5827634ea80bf4000199994b,CP,adult,1.025,0
5827634ea80bf4000199994b,CP,adult,1.025,0
5827634ea80bf4000199994b,CP,adult,1.05,1
5827634ea80bf4000199994b,CP,adult,1.0499999999999998,0
69d6f333ce1cfc012fa6ac85,CP,adult,1.02,0
69d6f333ce1cfc012fa6ac85,CP,adult,1.033332857142857,1
69d6f333ce1cfc012fa6ac85,CP,adult,1.025,0
69d6f333ce1cfc012fa6ac85,CP,adult,1.033334,1
69d6f333ce1cfc012fa6ac85,CP,adult,1.025,0
69d6f333ce1cfc012fa6ac85,CP,adult,1.02,1
69d6f333ce1cfc012fa6ac85,CP,adult,1.02,1
69d6f333ce1cfc012fa6ac85,CP,adult,1.02,0
69d6f333ce1cfc012fa6ac85,CP,adult,1.05,0
69d6f333ce1cfc012fa6ac85,CP,adult,1.025,1
69d6f333ce1cfc012fa6ac85,CP,adult,1.0499999999999998,1
69d6f333ce1cfc012fa6ac85,CP,adult,1.5,1
69d6f333ce1cfc012fa6ac85,CP,adult,1.25,1
69d6f333ce1cfc012fa6ac85,CP,adult,1.25,1
69d6f333ce1cfc012fa6ac85,CP,adult,1.025,0
69d6f333ce1cfc012fa6ac85,CP,adult,1.033334,1
69dd1ae891531453a33d4b3c,CP,adult,1.0333333333333334,1
6672e8d9d5662b17658a93ee,CP,adult,1.025,0
69aa46338ec395be30313cc4,CP,adult,1.25,1
5a285307df86d80001455de5,CP,adult,1.3333333333333333,1
6672e8d9d5662b17658a93ee,CP,adult,1.0333333333333334,1
60151380a2273d594f63aae3,CP,adult,1.0333333333333334,0
69aa46338ec395be30313cc4,CP,adult,1.25,1
5a285307df86d80001455de5,CP,adult,1.333334,1
6672e8d9d5662b17658a93ee,CP,adult,1.033334,1
60151380a2273d594f63aae3,CP,adult,1.033334,1
666a11d046107a56965a98f5,CP,adult,1.033332857142857,1
66acf7e114ccc48c4f7f9594,CP,adult,1.25,1
6672e8d9d5662b17658a93ee,CP,adult,1.033334,1
69aa46338ec395be30313cc4,CP,adult,1.025,0
60151380a2273d594f63aae3,CP,adult,1.0499999999999998,1
666a11d046107a56965a98f5,CP,adult,1.0499999999999998,0
69dd1ae891531453a33d4b3c,CP,adult,1.033332857142857,1
5a285307df86d80001455de5,CP,adult,1.033334,0
66acf7e114ccc48c4f7f9594,CP,adult,1.025,0
6672e8d9d5662b17658a93ee,CP,adult,1.025,1
69aa46338ec395be30313cc4,CP,adult,1.25,1
66acf7e114ccc48c4f7f9594,CP,adult,1.02,0
60151380a2273d594f63aae3,CP,adult,1.033334,0
69dd1ae891531453a33d4b3c,CP,adult,1.033334,1
5a285307df86d80001455de5,CP,adult,1.0333333333333334,1
666a11d046107a56965a98f5,CP,adult,1.25,1
6672e8d9d5662b17658a93ee,CP,adult,1.033334,1
66acf7e114ccc48c4f7f9594,CP,adult,1.5,0
69aa46338ec395be30313cc4,CP,adult,1.05,0
69dd1ae891531453a33d4b3c,CP,adult,1.033334,1
5a285307df86d80001455de5,CP,adult,1.5,1
60151380a2273d594f63aae3,CP,adult,1.25,1
66acf7e114ccc48c4f7f9594,CP,adult,1.5,0
69dd1ae891531453a33d4b3c,CP,adult,1.02,1
666a11d046107a56965a98f5,CP,adult,1.333332857142857,1
6672e8d9d5662b17658a93ee,CP,adult,1.025,1
69aa46338ec395be30313cc4,CP,adult,1.333332857142857,1
5a285307df86d80001455de5,CP,adult,1.033334,1
60151380a2273d594f63aae3,CP,adult,1.333332857142857,1
69dd1ae891531453a33d4b3c,CP,adult,1.025,1
66acf7e114ccc48c4f7f9594,CP,adult,1.5,1
6672e8d9d5662b17658a93ee,CP,adult,1.025,1
666a11d046107a56965a98f5,CP,adult,1.5,1
69aa46338ec395be30313cc4,CP,adult,1.025,1
5a285307df86d80001455de5,CP,adult,1.02,1
66acf7e114ccc48c4f7f9594,CP,adult,1.5,1
60151380a2273d594f63aae3,CP,adult,1.025,1
69dd1ae891531453a33d4b3c,CP,adult,1.033332857142857,1
6672e8d9d5662b17658a93ee,CP,adult,1.033332857142857,1
666a11d046107a56965a98f5,CP,adult,1.333332857142857,1
5a285307df86d80001455de5,CP,adult,1.05,1
69aa46338ec395be30313cc4,CP,adult,1.033334,1
69dd1ae891531453a33d4b3c,CP,adult,1.0333333333333334,0
66acf7e114ccc48c4f7f9594,CP,adult,1.033334,0
6672e8d9d5662b17658a93ee,CP,adult,1.033334,1
5a285307df86d80001455de5,CP,adult,1.025,1
60151380a2273d594f63aae3,CP,adult,1.02,0
666a11d046107a56965a98f5,CP,adult,1.333334,1
69aa46338ec395be30313cc4,CP,adult,1.5,1
69dd1ae891531453a33d4b3c,CP,adult,1.025,0
666a11d046107a56965a98f5,CP,adult,1.333334,1
69aa46338ec395be30313cc4,CP,adult,1.02,1
6672e8d9d5662b17658a93ee,CP,adult,1.0333333333333334,1
666a11d046107a56965a98f5,CP,adult,1.333332857142857,1
5a285307df86d80001455de5,CP,adult,1.5,1
6672e8d9d5662b17658a93ee,CP,adult,1.0333333333333334,0
